time,amplitude,wind_speed,label
0.0,0.00032199999999999997,4.5,2
0.001,-0.01392,4.5,2
0.002,0.06323,4.5,2
0.003,-0.00476,4.5,2
0.004,0.05196,4.5,2
0.005,0.07708999999999999,4.5,2
0.006,0.02199,4.5,2
0.007,-7.92e-05,4.5,2
0.008,0.03133,4.5,2
0.009,0.04486999999999999,4.5,2
0.01,0.01103,4.5,2
0.011,-0.00427,4.5,2
0.012,-0.01643,4.5,2
0.013,-0.055240000000000004,4.5,2
0.014,-0.06777,4.5,2
0.015,0.11157,4.5,2
0.016,0.00765,4.5,2
0.017,-0.03769,4.5,2
0.018,-0.12373999999999999,4.5,2
0.019,-0.03578,4.5,2
0.02,-0.036180000000000004,4.5,2
0.021,0.01506,4.5,2
0.022,-0.0038900000000000002,4.5,2
0.023,-0.029160000000000002,4.5,2
0.024,-0.01923,4.5,2
0.025,0.0302,4.5,2
0.026,0.08531,4.5,2
0.027,0.09014,4.5,2
0.028,0.10689000000000001,4.5,2
0.029,-0.00234,4.5,2
0.03,-0.00469,4.5,2
0.031,0.029880000000000004,4.5,2
0.032,-0.008400000000000001,4.5,2
0.033,-0.02134,4.5,2
0.034,-0.00339,4.5,2
0.035,-0.060450000000000004,4.5,2
0.036,-0.02425,4.5,2
0.037,-0.008,4.5,2
0.038,-0.03628,4.5,2
0.039,-0.029359999999999997,4.5,2
0.04,-0.05363,4.5,2
0.041,0.01345,4.5,2
0.042,-0.009210000000000001,4.5,2
0.043,0.16441,4.5,2
0.044,0.06533,4.5,2
0.045,0.00056,4.5,2
0.046,-0.05263,4.5,2
0.047,-0.00048,4.5,2
0.048,0.24722,4.5,2
0.049,-0.010610000000000001,4.5,2
0.05,-8.410000000000001e-05,4.5,2
0.051,-0.0054,4.5,2
0.052,-0.01312,4.5,2
0.053,-0.01693,4.5,2
0.054,0.07242,4.5,2
0.055,-0.10347999999999999,4.5,2
0.056,0.00572,4.5,2
0.057,-0.1443,4.5,2
0.058,0.07725,4.5,2
0.059,-0.04561,4.5,2
0.06,0.00314,4.5,2
0.061,-0.03307,4.5,2
0.062,0.04406,4.5,2
0.063,0.05373,4.5,2
0.064,-0.029060000000000002,4.5,2
0.065,-0.02224,4.5,2
0.066,0.02859,4.5,2
0.067,0.04712,4.5,2
0.068,-0.09977,4.5,2
0.069,0.08079,4.5,2
0.07,-0.007200000000000001,4.5,2
0.071,0.00878,4.5,2
0.072,-0.0078,4.5,2
0.073,0.014580000000000001,4.5,2
0.074,0.12752,4.5,2
0.075,-0.02886,4.5,2
0.076,0.04535,4.5,2
0.077,-0.10959999999999999,4.5,2
0.078,-0.11952000000000002,4.5,2
0.079,-0.011609999999999999,4.5,2
0.08,-0.02445,4.5,2
0.081,0.00056,4.5,2
0.082,-0.008400000000000001,4.5,2
