time,amplitude,label,wind_speed
0.0,0.00032199999999999997,2,4.5
0.001,-0.01392,2,4.5
0.002,0.06323,2,4.5
0.003,-0.00476,2,4.5
0.004,0.05196,2,4.5
0.005,0.07708999999999999,2,4.5
0.006,0.02199,2,4.5
0.007,-7.92e-05,2,4.5
0.008,0.03133,2,4.5
0.009,0.04486999999999999,2,4.5
0.01,0.01103,2,4.5
0.011,-0.00427,2,4.5
0.012,-0.01643,2,4.5
0.013,-0.055240000000000004,2,4.5
0.014,-0.06777,2,4.5
0.015,0.11157,2,4.5
0.016,0.00765,2,4.5
0.017,-0.03769,2,4.5
0.018,-0.12373999999999999,2,4.5
0.019,-0.03578,2,4.5
0.02,-0.036180000000000004,2,4.5
0.021,0.01506,2,4.5
0.022,-0.0038900000000000002,2,4.5
0.023,-0.029160000000000002,2,4.5
0.024,-0.01923,2,4.5
0.025,0.0302,2,4.5
0.026,0.08531,2,4.5
0.027,0.09014,2,4.5
0.028,0.10689000000000001,2,4.5
0.029,-0.00234,2,4.5
0.03,-0.00469,2,4.5
0.031,0.029880000000000004,2,4.5
0.032,-0.008400000000000001,2,4.5
0.033,-0.02134,2,4.5
0.034,-0.00339,2,4.5
0.035,-0.060450000000000004,2,4.5
0.036,-0.02425,2,4.5
0.037,-0.008,2,4.5
0.038,-0.03628,2,4.5
0.039,-0.029359999999999997,2,4.5
0.04,-0.05363,2,4.5
0.041,0.01345,2,4.5
0.042,-0.009210000000000001,2,4.5
0.043,0.16441,2,4.5
0.044,0.06533,2,4.5
0.045,0.00056,2,4.5
0.046,-0.05263,2,4.5
0.047,-0.00048,2,4.5
0.048,0.24722,2,4.5
0.049,-0.010610000000000001,2,4.5
0.05,-8.410000000000001e-05,2,4.5
0.051,-0.0054,2,4.5
0.052,-0.01312,2,4.5
0.053,-0.01693,2,4.5
0.054,0.07242,2,4.5
0.055,-0.10347999999999999,2,4.5
0.056,0.00572,2,4.5
0.057,-0.1443,2,4.5
0.058,0.07725,2,4.5
0.059,-0.04561,2,4.5
0.06,0.00314,2,4.5
0.061,-0.03307,2,4.5
0.062,0.04406,2,4.5
0.063,0.05373,2,4.5
0.064,-0.029060000000000002,2,4.5
0.065,-0.02224,2,4.5
0.066,0.02859,2,4.5
0.067,0.04712,2,4.5
0.068,-0.09977,2,4.5
0.069,0.08079,2,4.5
0.07,-0.007200000000000001,2,4.5
0.071,0.00878,2,4.5
0.072,-0.0078,2,4.5
0.073,0.014580000000000001,2,4.5
0.074,0.12752,2,4.5
0.075,-0.02886,2,4.5
0.076,0.04535,2,4.5
0.077,-0.10959999999999999,2,4.5
0.078,-0.11952000000000002,2,4.5
0.079,-0.011609999999999999,2,4.5
0.08,-0.02445,2,4.5
0.081,0.00056,2,4.5
0.082,-0.008400000000000001,2,4.5
0.083,0.006359999999999999,2,4.5
0.084,0.03262,2,4.5
0.085,0.034069999999999996,2,4.5
0.086,-0.00315,2,4.5
0.087,-0.04601,2,4.5
0.088,-0.02896,2,4.5
0.089,0.030690000000000002,2,4.5
0.09,0.018439999999999998,2,4.5
0.091,0.01361,2,4.5
0.092,0.01893,2,4.5
0.093,-0.050730000000000004,2,4.5
0.094,-0.10999999999999999,2,4.5
0.095,-0.0762,2,4.5
